term,synonym,id,remark
saccate,"sack-shaped",2049,NULL
scabrate,"scabrellate",2070,NULL
scabrate,"scabrellous",2070,NULL
scabrate,"scabrid",2070,NULL
scabrate,"scabridous",2070,NULL
scabrate,"scabridulous",2070,NULL
scabrate,"scabrous",2070,NULL
scalelike,"scale-like",2074,NULL
scalelike,"scaley",2075,NULL
scalelike,"scaly",2075,NULL
scaley,"scaly",2076,NULL
scant,"scanty",2081,NULL
scapelike,"scapiform",2084,NULL
scapelike,"scapose",2083,NULL
scapelike,"scapigerous",2083,NULL
scrotum-shaped,"scrotiform",2102,NULL
scutate,"scutiform",2106,NULL
scutellate,"scutelliform",2107,NULL
self-fertilizing,"selfing",2122,NULL
sellaeform,"selliform",2123,NULL
sepalous,"sepaled",2147,NULL
sepalous,"sepal-like",2147,NULL
sepalous,"sepaloid",2147,NULL
separate,"separated",2149,NULL
separate,"separating",2149,NULL
septum,"septa",2155,NULL
serrate,"serrulate",2161,NULL
seta,"setae",2163,NULL
setaceous,"setiform",2164,NULL
setose,"setulose",2165,NULL
shades,"shading",2168,NULL
sheathed,"sheathing",2175,NULL
shining,"shiny",2180,NULL
short,"shortened",2182,NULL
short,"shorter",2182,NULL
short,"shortest",2182,NULL
short,"shorter",2183,NULL
short,"shortest",2183,NULL
silver,"silvery",2197,NULL
sinus,"sinuses",2209,NULL
small,"smaller",2217,NULL
small,"smallest",2217,NULL
sori,"sorus",2237,NULL
spadix,"spadices",2240,NULL
sparse,"sparser",2241,NULL
spathaceous,"spathe-like",2243,NULL
spatula-shaped,"spatulate",2246,NULL
spheric,"spherical",2252,NULL
spheric,"spheroid",2252,NULL
spheric,"spheroidal",2252,NULL
spicate,"spiciform",2253,NULL
spikelike,"spike-like",2261,NULL
spiny,"spinulose",2265,NULL
spiny,"spinulose",2266,NULL
spiny,"spinescent",2265,NULL
spiny,"spinier",2265,NULL
spiny,"spinose",2265,NULL
spiny,"spinose",2266,NULL
spiny,"spinelike",2266,NULL
spiny,"spiniform",2266,NULL
spiral,"spiraled",2267,NULL
sporangium,"sporangia",2278,NULL
spread,"spreading",2290,NULL
squama,"squamae",2294,NULL
squamella,"squamellae",2296,NULL
squamate,"squamellose",2295,NULL
squamate,"squamose",2295,NULL
square,"squarish",2299,NULL
stamened,"staminate",2307,NULL
staminode,"staminodia",2309,NULL
staminode,"staminodium",2309,NULL
star,"star-shaped",2312,NULL
sterigma,"sterigmata",2321,NULL
stigma,"stigmas",2327,NULL
stigma,"stigmata",2327,NULL
stipelike,"stipiform",2334,NULL
stoma,"stomata",2341,NULL
stoma,"stomate",2341,NULL
stomia,"stomium",2345,NULL
stomate-bearing,"stomatiferous",2344,NULL
stout,"stouter",2348,NULL
straight,"straighter",2351,NULL
striate,"striped",2357,NULL
strigillose,"strigose",2362,NULL
strigillose,"strigulose",2362,NULL
strobili,"strobilus",2363,NULL
styled,"stylelike",2370,NULL
styled,"styliferous",2370,NULL
styled,"stylous",2370,NULL
stylopodia,"stylopodium",2372,NULL
subcapitate,"subcaptitate",2384,NULL
submerged,"submergent",2410,NULL
submerged,"submersed",2410,NULL
suborbicular,"suborbiculate",2415,NULL
subrotund,"subround",2425,NULL
subspheric,"subspherical",2437,NULL
subspheric,"subspheroid",2437,NULL
subspheric,"subspheroidal",2437,NULL
suffrutex,"suffrutices",2454,NULL
suffruticose,"suffruticulose",2455,NULL
sulci,"sulcus",2458,NULL
supramedial,"supramedian",2477,NULL
syconia,"syconium",2485,NULL
symmetric,"symmetrical",2487,NULL
symmetric,"symmetrical",2488,NULL
synangia,"synangium",2492,NULL
syncolpate,"syncolporate",2496,NULL
tall,"taller",2505,NULL
tapered,"tapering",2509,NULL
tartareous,"tartar-like",2513,NULL
tepaled,"tepalous",2519,NULL
terminal,"terrminal",2522,NULL
testa,"testae",2529,NULL
testes-shaped,"testicular",2530,NULL
thalli,"thallus",2538,NULL
theca,"thecae",2539,NULL
thick,"thickened",2541,NULL
thick,"thickening",2541,NULL
thick,"thicker",2541,NULL
thick,"thickest",2541,NULL
thick,"thickish",2541,NULL
thin,"thinner",2542,NULL
threadlike,"thread-like",2546,NULL
thyrselike,"thyrse-like",2551,NULL
thyrselike,"thyrsiform",2551,NULL
thyrselike,"thyrsoid",2551,NULL
tinge,"tinged",2557,NULL
tint,"tinted",2558,NULL
tomentose,"tomentulose",2560,NULL
tomentose,"tomentulous",2560,NULL
topped,"top-shaped",2565,NULL
tori,"torus",2566,NULL
trabecula,"trabeculae",2573,NULL
tree,"treelike",2583,NULL
triangle,"triangular",2587,NULL
triangle,"triangulate",2587,NULL
trullate,"trulliform",2604,NULL
trullate,"trulloid",2604,NULL
truncate,"truncated",2606,NULL
tubercular,"tuberculose",2612,NULL
tubercular,"tuberlike",2612,NULL
tuberculate,"tuberculose",2613,NULL
tuberlike,"tuberous",2614,NULL
tubiform,"tubular",2616,NULL
twisted,"twisting",2631,NULL
umbellate,"umbelliform",2639,NULL
umbellate,"umbel-like",2639,NULL
umbo,"umbos",2642,NULL
umbilicate,"umbonate",2640,NULL
umbilicate,"umbraculiform",2640,NULL
umbilicate,"umbrella-shaped",2640,NULL
unciform,"uncinate",2648,NULL
ungues,"unguis",2660,NULL
upper,"uppermost",2685,NULL
vallecula,"valleculae",2696,NULL
various,"varying",2704,NULL
veined,"veiny",2711,NULL
vela,"velum",2713,NULL
velamen,"velamina",2714,NULL
velvety,"velutinous",2715,NULL
verrucose,"verrucate",2724,NULL
vestiture,"vesture",2736,NULL
vexilla,"vexillum",2737,NULL
villose,"villosulous",2746,NULL
villose,"villous",2746,NULL
vinelike,"viny",2748,NULL
viscidia,"viscidium",2754,NULL
wandlike,"wand-like",2764,NULL
waxen,"waxy",2776,NULL
weak,"weaker",2777,NULL
wedged,"wedge-shaped",2779,NULL
white,"whitened",2784,NULL
white,"whitening",2784,NULL
white,"whitish",2784,NULL
wide,"widened",2787,NULL
wide,"wider",2787,NULL
wide,"widest",2787,NULL
winged,"winglike",2792,NULL
woodlike,"woody",2802,NULL
woody_clump,"woody_clumps",2804,NULL
wrinkled,"wrinkling",2810,NULL
yellow,"yellowish",2815,NULL
young,"younger",2817,NULL
young,"youngest",2817,NULL
zygomorphic,"zygmorphic",2820,NULL
