term,synonym,id,remark
reticulate_puncate,"reticulatepunctate",1716,
reticulate_puncate,"reticulatepunctulate",1716,
reticulate_puncate,"reticulopunctate",1716,
reticulate_striolate,"reticulostriolate",1717,
reticulatelyrugose,"reticulaterugose",1718,
reticulatelyrugose,"reticulaterugulose",1718,
reticulatelyrugose,"reticulorugose",1718,
reticulation,"reticulations",1720,
retracted,"retractile",1723,
rhomboid,"rhomboidal",1725,
ridge,"ridged",1725,
ridge,"ridges",1725,
right_angular,"rightangle",1730,
right_angular,"rightangled",1730,
right_angular,"rightangulate",1730,
ring,"rings",1736,
rise,"rises",1739,
rough,"roughening",1747,
rough,"roughness",1747,
round,"rounded",1749,
round,"rounder",1749,
round,"rounding",1749,
round,"rounds",1749,
row,"rows",1753,
rudiment,"rudimentary",1754,
rufous,"rufo",1765,
ruga,"rugae",1766,
rugoreticular,"rugoreticulate",1767,
rugoreticular,"rugoreticulation",1767,
rugoreticular,"rugoreticulum",1767,
rugose_punctate,"rugoso_punctate",1769,
rugoso_reticulation,"rugosoreticulate",1773,
rugula,"rugulae",1774,
rugula,"rugules",1774,
rugular,"rugulose",1775,
saddle,"saddles",1785,
saddle_like,"saddle_shaped",1786,
sagittal,"sagital",1788,
scale,"scales",1796,
scale_like,"scalelike",1797,
scanty,"scant",1799,
scape,"scapes",1800,
sclerotised,"sclerotization",1806,
sclerotised,"sclerotized",1806,
scrobe,"scrobes",1811,
sculpted,"sculptural",1816,
sculpted,"sculptured",1816,
sculpture,"sculpturation",1817,
sculpture,"sculpturing",1817,
section,"sections",1825,
segment,"segments",1828,
segmental,"segmented",1829,
semicirclet,"semicircu",1831,
sensilla,"sensillum",1839,
separate,"separated",1842,
serrate,"serrated",1848,
setae,"seta",1852,
shagreen,"shagreenate",1864,
shagreen,"shagreened",1864,
shagreen,"shagreening",1864,
shallow,"shallower",1865,
shape,"shaped",1866,
sharp,"sharpened",1868,
sharp,"sharper",1868,
sharp,"sharpest",1868,
shield_like,"shield_shaped",1876,
shining,"shiny",1879,
short,"shorter",1881,
shorter,"shortest",1888,
silken,"silky",1901,
silver,"silvery",1902,
silvery_white,"silverywhite",1904,
similar,"similarity",1905,
situate,"situated",1913,
size,"sized",1917,
size,"sizes",1917,
slanted,"slanting",1919,
slope,"sloped",1926,
slope,"sloping",1926,
small,"smaller",1927,
small,"smallest",1927,
small,"smallish",1927,
smooth,"smoothed",1931,
smooth,"smoother",1931,
socket,"sockets",1938,
space,"spaced",1953,
sparse,"sparser",1956,
spine_like,"spine_shaped",1966,
spine_like,"spined",1966,
spine_like,"spinelike",1966,
spine_like,"spinose",1966,
spine_like,"spinous",1966,
spine_like,"spinulose",1966,
spinule,"spinules",1972,
spiracle,"spiracles",1973,
spoon_shaped,"spoonshaped",1976,
spot,"spots",1977,
spot,"spotted",1977,
sprinkled,"sprinkling",1980,
spur,"spurs",1981,
squamate,"squamose",1982,
square,"squarish",1984,
sternite,"sternites",2000,
stiff,"stiffened",2003,
stiff,"stiffer",2003,
stiff,"stiffness",2003,
straight,"straighter",2011,
strength,"strengthen",2018,
stretch,"stretches",2019,
striate,"striated",2021,
striate,"striations",2021,
striate,"striato",2021,
striation,"striations",2023,
strigose,"strigulate",2029,
strip,"strips",2033,
stripe,"stripes",2034,
strong,"stronger",2037,
strong,"strongest",2037,
subangular,"subangulate",2044,
subclavata,"subclavate",2052,
subdentate,"subdenticulate",2066,
subglobose,"subglobular",2077,
submarginate,"submargined",2085,
suborbicular,"suborbiculate",2094,
suboval,"subovate",2095,
